Gx	Gy	Gz	Gyrox	Gyroy	Gyroz
-0.002	-0.011	 1.108	 0.237	 0.847	 0.496
 0.004	-0.012	 1.105	 0.221	 0.816	 0.481
 0.005	-0.009	 1.100	 0.191	 0.854	 0.511
 0.005	-0.011	 1.107	 0.313	 0.862	 0.580
 0.003	-0.014	 1.106	 0.313	 0.893	 0.610
-0.001	-0.015	 1.095	 0.237	 0.900	 0.557
 0.003	-0.007	 1.096	 0.229	 0.893	 0.549
 0.002	-0.007	 1.098	 0.252	 0.885	 0.587
 0.003	-0.008	 1.095	 0.221	 0.885	 0.572
 0.003	-0.008	 1.092	 0.198	 0.893	 0.549
 0.003	-0.007	 1.103	 0.175	 0.862	 0.526
 0.003	-0.007	 1.093	 0.206	 0.870	 0.504
 0.006	 0.001	 1.099	 0.267	 0.885	 0.519
 0.002	-0.009	 1.098	 0.252	 0.916	 0.557
 0.002	-0.013	 1.094	 0.191	 0.961	 0.603
 0.002	-0.016	 1.092	 0.183	 0.946	 0.587
 0.005	-0.014	 1.100	 0.221	 0.908	 0.549
 0.003	-0.011	 1.104	 0.229	 0.854	 0.519
 0.004	-0.011	 1.095	 0.183	 0.862	 0.519
 0.000	-0.012	 1.096	 0.206	 0.893	 0.526
-0.004	-0.011	 1.096	 0.244	 0.885	 0.526
 0.000	-0.010	 1.098	 0.221	 0.923	 0.565
-0.001	-0.008	 1.100	 0.183	 0.923	 0.656
-0.006	-0.007	 1.102	 0.221	 0.854	 0.648
-0.004	-0.012	 1.108	 0.282	 0.801	 0.549
 0.001	-0.013	 1.108	 0.320	 0.801	 0.427
-0.002	-0.013	 1.111	 0.275	 0.832	 0.473
 0.000	-0.010	 1.111	 0.168	 0.824	 0.580
 0.004	-0.011	 1.106	 0.191	 0.847	 0.511
 0.003	-0.011	 1.104	 0.229	 0.832	 0.488
 0.000	-0.012	 1.096	 0.229	 0.854	 0.504
-0.003	-0.007	 1.101	 0.175	 0.916	 0.496
 0.001	-0.014	 1.101	 0.168	 0.961	 0.549
-0.002	-0.009	 1.100	 0.221	 0.923	 0.587
-0.006	-0.009	 1.101	 0.244	 0.946	 0.565
-0.002	-0.006	 1.109	 0.168	 0.954	 0.603
 0.007	-0.010	 1.094	 0.130	 0.954	 0.587
 0.000	-0.012	 1.093	 0.244	 0.877	 0.488
-0.001	-0.009	 1.097	 0.298	 0.816	 0.511
-0.003	-0.008	 1.102	 0.175	 0.740	 0.542
-0.002	-0.011	 1.098	 0.107	 0.778	 0.565
-0.002	-0.015	 1.092	 0.145	 0.847	 0.549
-0.002	-0.014	 1.099	 0.237	 0.931	 0.565
-0.004	-0.015	 1.109	 0.237	 0.900	 0.534
-0.003	-0.013	 1.102	 0.183	 0.946	 0.488
